,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
166,3rd,8560,High School,70.17%,1.0,3.8,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,7.3,35317.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,91.0,FY14
167,4th,4350,K‐8 School,84.88%,2.0,28.3,8.0,1.0,0.6,9.0,1.0,5.0,3.0,1.0,58.9,10521.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,72993.0,699.0,FY14
168,5th,5050,High School,75.60%,2.0,15.1,2.0,1.0,0.4,0.0,1.0,0.0,4.0,0.0,25.5,74360.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,68124.0,325.0,FY14
169,1st,5400,Elementary School,83.92%,1.0,23.9,5.0,1.2,0.6,5.0,1.0,0.0,5.0,0.0,42.7,26915.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.1,179858.0,669.0,FY14
170,1st,2160,High School,66.42%,2.0,34.5,9.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,53.5,39201.0,0.0,0.0,0.0,1.2,0.0,2.0,0.0,3.0,0.0,0.0,6.2,832624.0,701.0,FY14
171,9th,6310,K‐8 School,63.15%,1.0,18.2,4.0,0.5,1.0,4.0,1.0,0.0,3.0,0.0,32.7,24271.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.8,50879.0,441.0,FY14
172,7th,7440,Elementary School,87.05%,1.0,27.3,4.0,1.1,0.4,0.0,1.0,0.0,5.0,0.0,39.8,30951.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.9,209896.0,538.0,FY14
173,7th,7010,High School,73.61%,2.0,51.0,23.0,2.8,1.2,11.0,2.0,0.0,10.0,0.5,103.5,39326.0,0.0,7.4,0.0,1.8,0.0,10.0,0.0,4.0,0.0,1.0,24.2,257237.0,1358.0,FY14
174,7th,5260,Elementary School,88.77%,2.0,37.1,3.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,54.1,22405.0,0.0,10.1,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,17.1,278284.0,903.0,FY14
175,3rd,1420,K‐8 School,85.17%,1.0,19.9,9.0,1.0,0.4,14.0,1.0,0.0,5.0,0.0,51.3,74623.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.3,109709.0,435.0,FY14
