,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
2,8th,54.18%,5070,High School,FY18,261.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3740.0,0.0,0.2,0.2,2.4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,79458.0,0.0,11.4,1.8,17.2,
3,3rd,84.48%,1260,K‐8 School,FY18,516.0,1.0,1.6,0.0,1.0,0.0,0.0,4.6,4997.0,1.0,5.0,0.2,14.4,7.0,0.5,1.0,0.0,1.0,1.0,1.4,113276.0,1.0,21.1,3.8,37.8,
4,7th,86.01%,5420,K‐8 School,FY18,382.0,0.0,1.2,0.0,1.0,0.0,0.0,5.0,71373.0,1.7,3.0,0.2,12.1,2.0,1.4,1.0,0.0,1.0,1.0,0.0,80079.0,0.4,20.8,3.8,31.3,
5,5th,19.97%,2140,Middle Secondary,FY18,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,63315.0,0.0,0.6,0.2,5.1,2.0,3.0,1.2,0.8,2.0,2.0,0.8,39408.0,0.0,54.5,0.8,67.0,
6,9th,73.92%,6350,K‐8 School,FY18,379.0,0.0,1.4,0.0,1.0,0.0,0.0,2.0,23207.0,3.0,4.2,1.2,12.8,13.0,0.6,1.0,0.0,1.0,1.0,0.0,139150.0,0.0,17.0,4.8,38.4,
7,1st,61.82%,2510,K‐8 School,FY18,580.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,31404.0,3.0,6.2,0.2,9.9,3.0,1.7,1.0,1.0,1.0,1.0,4.0,66739.0,0.0,25.2,2.8,40.7,
8,9th,73.64%,7400,K‐8 School,FY18,884.0,0.0,1.9,0.0,0.0,0.0,0.0,5.6,57670.0,0.0,9.2,0.2,17.0,8.0,0.9,1.0,0.0,2.0,1.0,6.4,189599.0,0.0,37.0,7.8,64.1,
9,4th,69.79%,1030,High School,FY18,487.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,9391.0,0.0,1.2,0.2,1.9,18.0,0.6,1.0,0.0,1.0,1.0,2.0,101859.0,0.0,21.3,9.8,54.6,
10,3rd,81.08%,1460,K‐8 School,FY18,479.0,0.0,0.7,0.0,1.0,0.0,0.0,1.0,18963.0,3.0,6.2,0.2,12.1,3.0,0.3,1.0,0.0,1.0,1.0,6.0,56562.0,2.0,20.0,3.8,38.1,
11,3rd,74.72%,1580,Middle School,FY18,275.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5248.0,0.0,0.0,0.2,1.2,6.0,0.5,0.5,0.0,1.0,1.0,2.0,44913.0,0.0,14.1,2.8,27.9,
12,5th,89.54%,4570,K‐8 School,FY18,379.0,0.0,0.5,0.0,0.0,0.0,0.0,5.0,51520.0,5.3,6.4,1.2,18.5,8.0,2.5,1.0,0.0,1.0,1.0,0.0,83739.0,0.7,17.0,5.8,37.0,
13,6th,75.02%,8340,Elementary School,FY18,1203.0,0.0,2.4,0.0,0.0,1.0,0.0,0.0,36909.0,0.0,10.0,0.0,13.4,10.0,2.6,1.4,0.0,2.0,2.0,8.0,95740.0,0.0,51.4,9.0,86.4,
14,7th,81.37%,7200,Elementary School,FY18,717.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,3820.0,0.0,13.0,0.2,14.5,5.0,1.4,2.0,0.0,1.0,2.0,7.0,51489.0,1.0,24.9,3.8,48.0,
15,5th,87.07%,7510,K‐8 School,FY18,728.0,0.0,0.1,0.0,0.0,0.6,0.0,5.0,42495.0,0.0,9.8,0.2,15.7,2.0,1.1,1.0,0.0,1.4,1.0,0.0,279304.0,0.0,30.2,1.8,38.5,
16,3rd,46.89%,2050,Middle School,FY18,176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1563.0,0.0,2.0,0.2,3.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,33248.0,0.0,8.2,1.8,17.0,
17,7th,87.96%,5530,Elementary School,FY18,699.0,0.0,2.2,0.0,0.5,0.0,0.0,6.6,59082.0,3.0,10.7,0.2,23.2,11.0,0.8,1.0,0.7,1.0,1.0,0.4,68029.0,0.0,29.4,5.8,51.1,
18,5th,79.44%,5160,Middle Secondary,FY18,539.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,8774.0,0.0,3.5,0.2,9.7,10.0,1.2,1.0,0.0,2.0,1.0,0.0,66238.0,0.0,27.5,12.8,55.5,
19,8th,85.69%,4380,Elementary School,FY18,489.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18815.0,3.0,7.1,0.2,12.3,4.0,0.0,1.0,0.0,1.0,1.0,5.0,128127.0,0.0,20.0,2.8,34.8,
20,3rd,83.60%,1370,K‐8 School,FY18,528.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,273901.0,1.0,6.2,0.2,8.6,4.0,2.0,1.0,0.9,1.0,1.0,0.0,245300.0,0.0,27.9,2.8,40.6,
21,3rd,85.16%,1290,K‐8 School,FY18,528.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,122170.0,4.0,3.8,0.2,12.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,79434.0,0.0,22.5,6.8,46.3,
22,5th,59.57%,5080,High School,FY18,479.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6688.0,1.0,0.4,0.2,3.6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,467538.0,0.0,21.7,0.8,29.5,
23,5th,32.05%,2650,High School,FY18,500.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,14754.0,0.0,0.5,0.2,1.3,6.0,2.5,1.0,0.0,1.0,1.0,0.0,13273.0,0.0,24.4,2.8,38.6,
