,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
125,5th,84.09%,5560,K‐8 School,FY14,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73304.0,4.0,2.7,0.0,6.7,0.0,1.0,0.2,0.0,1.0,1.0,1.0,17137.0,0.0,14.3,2.0,20.5,
126,10th,53.67%,8400,Elementary School,FY14,1149.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,125139.0,1.0,5.3,0.0,6.5,7.0,1.2,1.0,0.0,2.0,1.0,9.0,34574.0,4.0,44.4,4.0,73.6,
127,5th,82.40%,5480,K‐8 School,FY14,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113424.0,3.0,4.2,0.0,7.2,3.0,0.5,0.4,0.0,1.0,1.0,3.0,26486.0,0.0,20.2,4.0,33.1,
128,7th,80.96%,7110,Middle School,FY14,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73515.0,1.0,4.6,0.0,5.6,19.0,1.4,1.0,0.0,2.0,2.0,14.0,22532.0,0.0,41.0,16.0,96.4,
129,2nd,78.76%,2450,K‐8 School,FY14,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77259.0,0.0,5.2,0.0,5.2,4.0,0.5,0.3,0.0,1.0,1.0,4.0,45715.0,0.0,11.9,3.0,25.7,
130,9th,63.97%,6210,K‐8 School,FY14,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112150.0,2.0,2.8,0.0,4.8,4.0,0.5,0.4,0.0,1.0,1.0,3.0,28706.0,0.0,18.8,6.0,34.7,
131,1st,70.72%,2000,High School,FY14,1031.0,8.0,1.6,0.0,0.0,0.0,0.0,0.0,106013.0,0.0,8.2,0.0,17.8,7.0,3.8,0.9,0.0,3.0,1.0,7.0,34308.0,0.0,49.5,19.0,91.2,
132,1st,44.20%,2340,K‐8 School,FY14,666.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90027.0,0.0,4.1,0.0,6.1,2.0,1.0,1.0,0.0,1.0,1.0,4.0,36105.0,0.0,29.7,2.5,42.2,
133,5th,75.46%,5620,High School,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
134,9th,67.48%,8310,Elementary School,FY14,1167.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,178569.0,0.0,7.4,0.0,8.4,6.0,2.0,1.4,0.0,2.0,1.0,7.0,60272.0,2.0,47.2,7.0,75.6,
135,7th,86.13%,5390,K‐8 School,FY14,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107314.0,0.0,7.8,0.0,7.8,0.0,3.2,1.0,0.0,1.0,1.0,7.0,215039.0,0.0,28.5,4.0,45.7,
136,8th,81.82%,6300,Elementary School,FY14,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113634.0,0.0,4.3,0.0,4.3,5.0,1.0,0.3,0.0,1.0,1.0,2.0,6846.0,0.0,12.3,5.0,27.6,
137,1st,81.55%,2540,Elementary School,FY14,541.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,142781.0,1.0,4.2,0.0,6.6,0.0,2.4,0.4,0.0,1.0,1.0,4.0,18892.0,0.0,25.2,2.0,36.0,
138,1st,86.31%,5590,Elementary School,FY14,918.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,141798.0,5.0,10.8,0.0,16.8,13.0,1.2,1.0,0.0,2.0,1.0,9.0,26045.0,3.0,32.2,9.0,71.4,
139,4th,68.75%,4320,K‐8 School,FY14,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84978.0,0.0,2.2,0.0,2.2,12.0,1.0,1.0,0.0,1.0,1.0,4.0,36148.0,0.0,22.5,8.0,50.5,
140,6th,67.68%,8140,Middle School,FY14,550.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20482.0,1.0,1.0,0.0,9.0,5.0,1.0,1.0,0.0,2.0,1.0,7.0,38547.0,0.0,26.2,10.0,53.2,
141,3rd,83.17%,1230,K‐8 School,FY14,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132890.0,5.0,5.2,0.0,10.2,1.0,2.0,0.4,0.0,1.0,1.0,3.0,152530.0,0.0,21.2,3.0,32.6,
142,7th,80.49%,5020,High School,FY14,1331.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,170380.0,0.0,8.0,0.0,21.0,5.0,3.0,2.0,0.0,2.0,1.0,9.0,49903.0,10.0,32.7,21.0,85.7,
143,7th,86.25%,5470,Elementary School,FY14,617.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185858.0,4.0,8.1,0.0,13.1,7.0,1.2,1.0,0.0,1.0,1.0,5.0,9950.0,0.0,25.7,5.0,46.9,
144,9th,52.80%,6460,Middle Secondary,FY14,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10438.0,0.0,2.9,1.0,3.9,15.0,0.5,0.6,0.0,1.0,1.0,1.0,16445.0,0.0,12.5,9.0,40.6,
145,1st,61.60%,2670,High School,FY14,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24541.0,0.0,0.2,0.0,0.2,1.0,1.0,0.3,0.0,1.0,1.0,1.0,50482.0,0.0,15.3,1.0,21.6,
146,4th,66.61%,6030,High School,FY14,618.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,55160.0,0.0,3.3,0.0,14.3,19.0,1.0,1.0,0.0,1.0,1.0,3.0,88662.0,0.0,29.5,16.0,71.5,
147,6th,78.65%,7330,Elementary School,FY14,710.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,142439.0,6.0,7.2,0.0,14.2,12.0,1.2,1.0,0.0,1.0,1.0,5.0,27779.0,0.0,25.9,8.0,55.1,
148,6th,70.15%,8270,Elementary School,FY14,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133424.0,0.0,3.4,0.0,3.4,12.0,1.0,0.6,0.0,1.0,1.0,3.0,30592.0,2.0,20.8,7.0,48.4,
149,5th,86.67%,4440,K‐8 School,FY14,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267580.0,0.0,7.8,0.0,7.8,1.0,3.0,1.0,0.0,1.0,1.0,5.0,240334.0,0.0,25.7,3.0,40.7,
150,3rd,79.77%,1100,High School,FY14,513.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,256475.0,2.0,4.2,0.0,15.2,8.0,2.0,1.0,0.0,2.0,1.0,6.0,23852.0,0.0,19.0,14.0,53.0,
151,10th,53.69%,8390,K‐8 School,FY14,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98412.0,2.0,4.5,0.0,6.5,11.0,1.0,1.0,0.0,2.0,1.0,6.0,58669.0,2.0,33.3,7.0,64.3,
152,1st,77.35%,2190,K‐8 School,FY14,542.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,43968.0,0.0,4.2,0.0,4.8,3.0,0.9,1.0,0.0,1.0,1.0,4.0,20945.0,0.0,23.3,3.0,37.2,
153,4th,48.16%,6380,K‐8 School,FY14,563.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99886.0,0.0,1.8,0.0,2.8,10.0,1.0,1.0,0.0,1.0,1.0,3.0,32370.0,1.0,23.0,3.0,44.0,
154,9th,77.47%,7530,Elementary School,FY14,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140059.0,5.0,4.2,0.0,9.2,1.0,0.5,0.4,0.0,1.0,1.0,6.0,56256.0,0.0,19.9,3.0,32.8,
155,8th,62.95%,6260,K‐8 School,FY14,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62042.0,0.0,3.0,0.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,4.0,14219.0,0.0,18.5,8.0,41.5,
156,3rd,83.21%,1350,K‐8 School,FY14,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168812.0,1.0,5.0,0.0,6.0,2.0,0.5,0.6,0.0,1.0,1.0,6.0,19850.0,0.0,21.5,4.0,36.6,
157,4th,73.02%,4240,Elementary School,FY14,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111966.0,4.0,5.8,0.0,9.8,6.0,1.0,1.0,0.0,1.0,1.0,5.0,22341.0,1.0,22.0,3.0,41.0,
158,10th,59.23%,8020,High School,FY14,3006.0,7.0,2.8,0.0,0.0,0.0,0.0,0.0,142350.0,0.0,2.4,0.0,12.2,5.0,2.8,2.2,0.0,5.0,3.0,14.0,74392.0,0.0,120.5,23.0,175.5,
159,7th,86.96%,8470,Middle Secondary,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,2.0,1.0,1.0,2.0,211824.0,3.0,13.4,5.0,29.1,
160,5th,51.38%,5200,K‐8 School,FY14,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66857.0,0.0,3.6,0.0,3.6,1.0,1.0,0.3,0.0,1.0,1.0,2.0,34145.0,0.0,16.8,3.0,26.1,
161,2nd,73.48%,1010,High School,FY14,1066.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,51931.0,0.0,7.8,0.0,15.8,8.0,2.2,1.0,2.0,3.0,2.0,7.0,51918.0,0.0,41.3,17.0,83.5,
162,2nd,69.54%,1440,K‐8 School,FY14,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256615.0,2.0,4.4,0.0,6.4,24.0,1.0,1.0,0.0,2.0,2.0,7.0,11198.0,0.0,28.9,13.0,78.9,
163,10th,67.57%,8360,Elementary School,FY14,609.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,83479.0,3.0,4.0,0.0,7.4,3.0,1.2,0.5,0.0,1.0,1.0,4.0,20238.0,0.0,23.8,3.0,37.5,
164,4th,44.47%,2680,Middle Secondary,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
165,9th,76.28%,7220,Elementary School,FY14,1073.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,337359.0,0.0,10.7,0.0,11.3,6.0,1.8,1.6,0.0,2.0,1.0,5.0,59521.0,5.0,41.6,10.0,74.0,
166,3rd,70.17%,8560,High School,FY14,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,35317.0,0.0,3.8,0.0,7.3,
167,4th,84.88%,4350,K‐8 School,FY14,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72993.0,0.0,7.1,0.0,7.1,9.0,1.0,0.6,1.0,2.0,1.0,3.0,10521.0,5.0,28.3,8.0,58.9,
168,5th,75.60%,5050,High School,FY14,325.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68124.0,0.0,4.0,0.0,5.0,0.0,1.0,0.4,0.0,2.0,1.0,4.0,74360.0,0.0,15.1,2.0,25.5,
169,1st,83.92%,5400,Elementary School,FY14,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179858.0,5.0,8.1,0.0,13.1,5.0,1.2,0.6,0.0,1.0,1.0,5.0,26915.0,0.0,23.9,5.0,42.7,
170,1st,66.42%,2160,High School,FY14,701.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,832624.0,3.0,0.0,0.0,6.2,1.0,2.0,1.0,0.0,2.0,1.0,3.0,39201.0,0.0,34.5,9.0,53.5,
171,9th,63.15%,6310,K‐8 School,FY14,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50879.0,2.0,3.8,0.0,5.8,4.0,0.5,1.0,0.0,1.0,1.0,3.0,24271.0,0.0,18.2,4.0,32.7,
172,7th,87.05%,7440,Elementary School,FY14,538.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,209896.0,0.0,5.9,0.0,6.9,0.0,1.1,0.4,0.0,1.0,1.0,5.0,30951.0,0.0,27.3,4.0,39.8,
173,7th,73.61%,7010,High School,FY14,1358.0,10.0,1.8,0.0,1.0,0.0,0.0,0.0,257237.0,4.0,7.4,0.0,24.2,11.0,2.8,1.2,0.5,2.0,2.0,10.0,39326.0,0.0,51.0,23.0,103.5,
174,7th,88.77%,5260,Elementary School,FY14,903.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,278284.0,6.0,10.1,0.0,17.1,0.0,1.0,1.0,0.0,2.0,1.0,9.0,22405.0,0.0,37.1,3.0,54.1,
175,3rd,85.17%,1420,K‐8 School,FY14,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109709.0,4.0,3.3,0.0,7.3,14.0,1.0,0.4,0.0,1.0,1.0,5.0,74623.0,0.0,19.9,9.0,51.3,
176,5th,88.73%,4530,K‐8 School,FY14,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62413.0,3.0,5.6,0.0,8.6,2.0,0.5,1.0,0.0,1.0,1.0,3.0,21142.0,0.0,15.4,3.0,26.9,
177,6th,64.70%,8300,K‐8 School,FY14,1135.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,139099.0,0.0,5.6,0.0,6.2,5.0,1.6,1.2,0.0,2.0,1.0,7.0,24765.0,0.0,46.9,5.0,69.7,
178,3rd,70.50%,1190,High School,FY14,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26872.0,0.0,0.2,0.0,0.2,0.0,1.0,0.2,0.0,1.0,1.0,4.0,46956.0,3.0,10.0,1.0,21.2,
179,8th,80.28%,7100,K‐8 School,FY14,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158390.0,3.0,5.4,0.0,8.4,4.0,1.0,0.4,0.0,1.0,1.0,3.0,22924.0,1.0,20.3,4.0,35.7,
180,8th,71.86%,6200,K‐8 School,FY14,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76260.0,0.0,2.6,0.0,2.6,9.0,1.0,1.0,0.0,1.0,1.0,5.0,27974.0,0.0,20.2,6.0,44.2,
181,5th,76.79%,2010,High School,FY14,847.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,37047.0,7.0,5.2,0.0,16.4,14.0,2.6,0.7,0.0,2.0,1.0,6.0,18029.0,0.0,39.8,12.0,78.1,
182,5th,86.30%,4220,K‐8 School,FY14,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52314.0,0.0,5.6,0.0,5.6,9.0,1.0,0.4,0.0,1.0,1.0,3.0,86396.0,0.0,17.4,8.0,40.8,
183,10th,35.38%,8040,High School,FY14,561.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27028.0,1.0,0.0,0.0,4.0,4.0,1.0,0.4,0.0,1.0,1.0,2.0,116133.0,0.0,23.5,4.0,36.9,
184,6th,59.29%,8410,Elementary School,FY14,789.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,117355.0,3.0,4.7,0.0,8.1,6.0,1.2,0.6,0.0,1.0,1.0,5.0,36472.0,0.0,30.5,7.0,52.3,
185,7th,86.49%,5490,Elementary School,FY14,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107654.0,0.0,5.8,0.0,5.8,1.0,2.0,0.4,0.0,1.0,1.0,5.0,121826.0,0.0,23.6,2.0,36.0,
186,8th,72.41%,6400,K‐12 School,FY14,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11097.0,1.0,0.0,0.0,1.0,20.0,0.5,3.6,2.0,2.0,1.0,4.0,102241.0,8.0,4.4,23.0,68.5,
187,2nd,78.87%,2240,K‐8 School,FY14,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203231.0,4.0,2.6,0.0,6.6,8.0,1.0,0.3,0.0,1.0,1.0,3.0,24356.0,0.0,20.6,6.0,40.9,
188,8th,58.79%,6050,High School,FY14,1112.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,75103.0,0.0,0.6,0.0,0.8,0.0,1.8,1.2,0.0,2.0,1.0,2.0,8167.0,0.0,46.2,2.0,56.2,
189,9th,78.34%,7350,Elementary School,FY14,947.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,261343.0,9.0,9.4,0.0,18.8,8.0,1.8,1.0,0.0,2.0,1.0,6.0,40901.0,3.0,37.0,5.0,64.8,
190,6th,71.04%,8210,Elementary School,FY14,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65989.0,4.0,6.0,0.0,10.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,31476.0,0.0,20.4,6.0,39.4,
191,7th,78.55%,5370,Elementary School,FY14,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128513.0,4.0,5.0,0.0,9.0,2.0,1.0,0.8,0.0,1.0,1.0,4.0,13311.0,1.0,16.3,2.0,29.2,
192,8th,81.45%,6360,K‐8 School,FY14,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252185.0,8.0,4.0,0.0,12.0,5.0,1.0,0.7,1.0,2.0,2.0,0.0,30865.0,0.0,29.1,8.0,48.7,
193,1st,70.07%,2520,Elementary School,FY14,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77989.0,2.0,2.8,0.0,4.8,6.0,0.5,0.3,0.0,1.0,1.0,2.0,7542.0,0.0,12.3,2.0,25.1,
194,6th,86.25%,7430,Elementary School,FY14,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148467.0,4.0,7.9,0.0,11.9,7.0,1.2,0.6,0.0,1.0,1.0,4.0,38246.0,0.0,25.1,7.0,46.9,
195,9th,67.71%,8120,Middle School,FY14,1169.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,16176.0,6.0,0.8,0.0,7.9,3.0,1.4,1.0,0.0,2.0,1.0,7.0,42262.0,0.0,52.8,8.0,76.2,
196,2nd,81.35%,1250,Elementary School,FY14,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151604.0,3.0,5.9,0.0,8.9,6.0,1.6,0.6,0.0,1.0,1.0,7.0,23142.0,0.0,24.0,6.0,47.2,
197,7th,88.33%,5410,Elementary School,FY14,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74091.0,2.0,5.2,0.0,7.2,0.0,0.5,0.2,0.0,1.0,1.0,1.0,24072.0,0.0,11.2,2.0,16.9,
198,1st,75.63%,2690,K‐8 School,FY14,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127868.0,2.0,4.8,0.0,6.8,6.0,1.5,1.0,0.0,1.0,1.0,4.0,16589.0,0.0,22.4,6.0,42.9,
199,4th,61.51%,6480,Middle School,FY14,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15652.0,1.0,0.0,0.0,1.0,4.0,0.5,0.2,0.0,1.0,1.0,1.0,23152.0,0.0,12.5,2.0,22.2,
200,2nd,82.66%,2320,Elementary School,FY14,593.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,228414.0,8.0,6.9,0.0,15.7,1.0,1.6,0.8,0.0,1.0,1.0,5.0,9756.0,0.0,21.6,3.0,35.0,
201,1st,79.49%,5210,K‐8 School,FY14,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251293.0,0.0,4.8,0.0,4.8,9.0,1.8,0.4,0.0,1.0,1.0,5.0,21734.0,0.0,27.6,7.0,52.8,
202,10th,42.74%,8370,Elementary School,FY14,493.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,74346.0,2.0,2.8,0.0,5.0,13.0,1.0,0.4,0.0,1.0,1.0,3.0,30287.0,0.0,21.0,6.0,46.4,
203,8th,80.68%,5500,K‐8 School,FY14,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106773.0,4.0,7.0,0.0,11.0,18.0,1.6,1.0,0.0,1.0,1.0,5.0,31545.0,1.0,30.3,12.0,70.9,
204,3rd,73.08%,1340,K‐8 School,FY14,581.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,164294.0,0.0,7.7,0.0,8.1,11.0,1.2,1.0,0.0,1.0,1.0,4.0,96081.0,0.0,25.7,7.0,51.9,
205,5th,61.74%,5150,High School,FY14,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40684.0,0.0,0.2,0.0,0.2,5.0,1.0,0.4,0.0,1.0,1.0,4.0,21329.0,0.0,22.5,1.0,35.9,
206,10th,52.46%,8030,High School,FY14,1686.0,11.0,0.6,0.0,0.0,0.0,0.0,0.0,29985.0,2.0,1.6,0.0,15.2,15.0,1.4,2.0,0.0,3.0,2.0,11.0,47393.0,0.0,69.8,22.0,126.2,
207,3rd,85.44%,8460,High School,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,1.0,1.0,2.0,7.0,148302.0,0.0,11.2,4.0,28.4,
208,8th,85.09%,6390,K‐8 School,FY14,544.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162020.0,0.0,5.8,0.0,6.8,0.0,1.0,0.5,0.0,1.0,1.0,3.0,31707.0,0.0,21.2,3.0,30.7,
209,8th,39.44%,6270,K‐8 School,FY14,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70388.0,1.0,1.8,0.0,2.8,5.0,1.0,1.0,0.0,1.0,1.0,3.0,27242.0,0.0,20.8,5.0,37.8,
210,10th,50.60%,8260,Elementary School,FY14,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77147.0,2.0,2.8,0.0,4.8,5.0,1.0,0.4,0.0,1.0,1.0,4.0,15318.0,0.0,18.9,3.0,34.3,
211,1st,72.43%,5300,Elementary School,FY14,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38961.0,2.4,4.8,0.0,7.2,17.0,1.0,1.0,0.0,1.0,1.0,3.0,23184.0,1.0,13.0,8.0,46.0,
212,10th,65.08%,8380,K‐8 School,FY14,998.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,96099.0,2.0,5.9,0.0,8.5,16.0,2.6,1.0,0.0,1.0,2.0,7.0,34993.0,0.0,40.6,9.0,79.2,
213,8th,85.17%,6470,Elementary School,FY14,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157277.0,3.0,8.4,0.0,11.4,14.0,1.0,0.6,0.0,1.0,1.0,5.0,34729.0,8.0,23.6,9.0,63.2,
214,9th,81.93%,7320,Elementary School,FY14,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89601.0,0.0,3.8,0.0,3.8,3.0,1.0,0.2,0.0,1.0,1.0,2.0,5158.0,0.0,10.6,4.0,22.8,
0,2nd,83.44%,1380,Elementary School,FY18,640.0,0.0,0.2,0.0,0.0,0.0,0.0,7.0,19977.0,5.0,8.6,0.2,21.0,8.0,0.8,1.0,1.2,1.0,1.0,1.0,100159.0,2.0,25.0,2.8,43.8,
1,4th,79.34%,4370,Elementary School,FY18,242.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21444.0,0.0,2.8,1.2,6.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,74924.0,0.0,13.9,0.8,19.7,
