,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
146,4th,6030,High School,66.61%,2.0,29.9,15.8,1.4,1.1,21.0,1.0,0.0,0.0,0.0,72.2,78513.0,0.0,8.4,0.3,1.6,0.0,0.0,0.0,0.0,5.0,0.0,15.3,12667.0,686.0,FY19
147,6th,7330,Elementary School,78.65%,1.0,30.3,13.0,1.2,2.0,15.0,1.0,0.0,9.0,0.0,72.5,70668.0,1.0,5.0,1.0,1.2,0.0,0.0,0.0,5.0,13.0,0.0,26.2,48224.0,791.0,FY19
148,6th,8270,Elementary School,70.15%,1.0,26.7,8.0,1.1,1.0,19.0,1.0,2.0,0.0,0.0,59.8,64783.0,0.0,5.2,0.0,0.1,0.0,0.0,0.0,8.0,4.0,0.0,17.3,77723.0,610.0,FY19
149,5th,4440,K‐8 School,86.67%,1.0,23.0,3.0,3.0,1.0,3.0,1.0,0.0,5.0,0.0,40.0,30188.0,1.0,5.3,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,12.3,216214.0,391.0,FY19
150,3rd,1100,High School,79.77%,1.0,17.2,13.0,1.5,1.0,21.0,1.0,0.0,2.0,1.0,58.7,43972.0,1.0,6.8,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.3,42432.0,399.0,FY19
151,10th,8390,K‐8 School,53.69%,2.0,32.8,8.0,1.0,1.0,12.0,1.0,5.0,10.0,0.0,72.8,102908.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.2,31953.0,791.0,FY19
152,1st,2190,K‐8 School,77.35%,1.0,28.0,5.0,1.0,1.0,9.0,1.0,0.0,1.0,0.0,47.0,128423.0,0.0,2.4,0.0,1.6,0.0,0.0,0.0,4.0,5.0,0.0,13.0,65933.0,576.0,FY19
153,4th,6380,K‐8 School,48.16%,1.0,22.2,6.0,3.0,1.0,22.0,1.0,0.0,6.0,0.0,62.2,54058.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,62715.0,493.0,FY19
154,9th,7530,Elementary School,77.47%,1.0,17.4,4.0,1.0,1.0,6.0,1.0,0.0,5.0,0.0,36.4,51858.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,11.2,13346.0,441.0,FY19
155,8th,6260,K‐8 School,62.95%,1.0,18.9,9.0,0.2,1.0,9.0,1.0,3.0,0.2,0.0,43.3,57853.0,0.0,3.2,0.0,1.8,0.0,0.0,0.0,0.0,2.8,1.0,8.8,6395.0,381.0,FY19
