,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
103,1st,5550,High School,82.81%,2.0,20.2,5.8,1.0,1.0,5.0,1.0,0.0,1.0,0.0,37.0,144580.0,0.0,1.4,0.2,2.4,0.0,0.0,0.0,0.0,3.0,1.0,8.1,162497.0,424.0,FY18
104,10th,8430,K‐8 School,26.69%,2.0,32.2,8.8,1.1,1.0,17.0,1.0,2.0,6.0,0.0,71.1,74499.0,0.0,5.2,1.2,0.1,0.0,0.0,0.0,1.0,1.0,0.0,8.5,61200.0,793.0,FY18
105,3rd,1050,High School,69.26%,1.0,13.4,1.8,0.1,1.0,0.0,1.0,1.0,2.0,0.0,21.2,87858.0,0.0,1.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12355.0,307.0,FY18
106,9th,5610,High School,77.85%,1.0,21.2,2.8,0.0,1.0,0.0,1.0,0.0,2.0,0.0,29.0,52163.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2,8720.0,385.0,FY18
107,2nd,1400,Elementary School,80.91%,1.0,21.9,2.8,1.0,2.0,2.0,1.0,3.0,2.0,0.0,36.7,65069.0,0.0,11.0,0.2,0.0,0.0,0.0,0.0,2.0,3.0,0.0,16.2,34257.0,585.0,FY18
108,10th,8770,K‐8 School,49.06%,2.3,32.1,17.8,13.0,2.6,26.0,2.0,0.0,6.0,0.0,101.8,105969.0,0.7,4.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,18924.0,744.0,FY18
109,5th,4140,High School,81.82%,2.0,12.0,6.8,2.0,1.0,13.0,1.0,0.0,3.0,1.0,41.8,99105.0,1.0,2.2,0.2,0.8,0.0,0.0,0.0,0.0,3.0,0.2,7.4,133241.0,303.0,FY18
110,5th,2290,High School,61.38%,2.0,48.2,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,57.0,245128.0,0.0,0.5,0.2,2.4,0.0,0.0,0.0,0.0,6.0,0.0,9.1,13512.0,889.0,FY18
111,9th,7260,Elementary School,71.78%,1.0,13.0,1.8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.8,54179.0,0.0,3.4,0.2,0.0,0.0,1.0,0.0,0.0,5.0,0.0,9.6,30389.0,286.0,FY18
112,7th,7380,Elementary School,85.53%,2.0,28.3,1.8,1.4,1.0,2.0,1.0,0.0,5.0,0.0,42.4,101539.0,0.0,6.8,0.2,0.2,0.0,0.0,0.0,11.0,5.0,0.0,23.3,201972.0,621.0,FY18
113,2nd,2370,K‐8 School,86.23%,3.0,24.8,2.8,0.0,2.0,6.0,2.0,0.0,1.0,1.0,42.6,202644.0,0.0,3.4,0.2,2.0,0.0,0.0,0.0,4.0,9.0,1.0,19.6,87476.0,452.0,FY18
114,1st,2720,K‐8 School,72.92%,1.0,21.4,7.8,1.2,1.0,13.0,1.0,2.0,4.0,0.0,52.4,110184.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,2.0,0.0,1.0,5.4,6972.0,367.0,FY18
115,10th,8090,High School,54.97%,1.0,33.2,9.0,0.7,1.0,6.0,1.0,0.0,0.0,0.0,51.9,94165.0,0.0,5.1,0.0,0.5,0.0,3.0,0.0,0.0,3.0,0.0,11.6,57069.0,647.0,FY18
116,4th,1200,K‐8 School,87.27%,1.0,31.1,5.8,2.8,1.0,10.0,1.0,0.0,8.9,1.0,62.6,129443.0,1.0,7.0,0.2,0.0,0.0,0.0,0.0,6.0,2.2,1.2,17.6,397734.0,652.0,FY18
117,7th,5440,Elementary School,88.57%,1.0,29.0,4.8,2.5,1.0,12.0,1.0,0.0,5.6,0.0,56.9,28234.0,0.0,8.8,0.2,1.3,0.0,0.0,0.0,0.0,0.4,0.0,10.8,11437.0,738.0,FY18
118,5th,2490,K‐8 School,84.12%,1.0,14.8,4.8,0.7,1.0,6.0,1.0,0.0,3.0,1.0,33.2,97509.0,0.0,5.8,1.2,0.4,0.0,0.0,0.0,1.0,0.0,0.0,8.4,19807.0,292.0,FY18
119,7th,7460,K‐8 School,75.22%,1.0,24.8,7.8,1.1,1.0,11.0,1.0,2.0,4.0,0.0,53.7,70844.0,0.0,3.4,0.2,1.1,0.0,0.0,0.0,4.0,2.0,0.0,10.7,25486.0,546.0,FY18
120,6th,8200,K‐8 School,78.27%,2.3,42.0,6.8,1.6,1.2,7.0,1.0,2.0,5.0,0.0,68.9,148919.0,0.7,5.2,0.2,0.4,0.0,0.0,0.0,4.0,0.0,1.0,11.5,25033.0,980.0,FY18
121,5th,4060,High School,82.88%,1.0,30.4,4.8,1.0,1.0,2.0,1.0,0.0,2.0,1.1,44.3,56641.0,0.0,4.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5.7,26913.0,613.0,FY18
122,4th,6410,K‐8 School,48.20%,1.0,19.5,6.8,1.0,1.0,14.0,1.0,0.2,2.0,0.0,46.5,52054.0,0.0,3.9,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,4.9,7270.0,466.0,FY18
123,4th,6040,High School,57.14%,1.0,25.6,2.8,1.0,1.0,3.0,1.0,0.3,2.0,3.0,40.6,206023.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,1.7,3.0,0.0,6.4,3426.0,505.0,FY18
124,7th,7360,Elementary School,84.69%,1.0,22.9,6.8,3.0,2.0,16.0,1.0,0.0,3.5,0.0,56.1,201374.0,1.0,2.6,0.2,0.0,0.0,0.0,0.0,0.0,3.6,1.0,8.4,175547.0,393.0,FY18
125,5th,5560,K‐8 School,84.09%,1.0,13.6,0.8,0.1,1.0,0.0,1.0,0.0,1.0,0.2,18.7,143617.0,0.0,3.7,0.2,1.1,0.0,0.0,0.0,2.0,2.0,0.0,9.0,12198.0,264.0,FY18
126,10th,8400,Elementary School,53.67%,3.0,50.6,5.0,2.1,1.4,3.0,2.0,2.0,9.0,0.0,78.1,157235.0,0.0,11.2,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,14.9,21896.0,1326.0,FY18
127,5th,5480,K‐8 School,82.40%,1.0,16.6,4.8,1.0,1.0,10.0,1.0,0.0,3.1,0.0,38.5,34102.0,0.0,2.6,0.2,0.0,0.0,0.0,0.0,1.0,0.9,1.0,5.7,4588.0,332.0,FY18
128,7th,7110,Middle School,80.96%,3.0,37.8,11.8,1.2,1.0,16.0,1.0,1.0,9.0,0.0,81.8,292477.0,0.0,3.4,0.2,0.2,0.0,0.0,0.0,0.0,3.0,1.0,7.8,180845.0,771.0,FY18
129,2nd,2450,K‐8 School,78.76%,1.0,11.9,2.8,0.8,2.0,5.0,1.0,0.0,3.0,0.0,27.5,52556.0,0.0,4.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.6,11069.0,257.0,FY18
130,9th,6210,K‐8 School,63.97%,1.0,25.4,4.8,0.0,1.0,7.0,1.0,0.0,4.0,1.0,45.2,51909.0,0.0,3.0,0.2,1.0,0.0,0.0,0.0,0.0,4.0,0.0,8.2,30505.0,603.0,FY18
131,1st,2000,High School,70.72%,2.0,29.2,14.8,1.9,1.0,20.0,1.0,0.0,0.0,0.2,70.1,31862.0,1.0,6.2,1.2,1.7,0.0,0.0,0.0,0.0,3.0,1.0,14.1,77985.0,572.0,FY18
132,1st,2340,K‐8 School,44.20%,1.0,35.2,3.8,2.0,1.0,8.0,1.0,0.0,5.0,0.0,56.9,115479.0,0.0,4.6,0.2,0.6,0.0,1.0,0.0,0.0,0.0,0.0,6.5,18607.0,734.0,FY18
133,5th,5620,High School,75.46%,1.0,14.0,2.8,0.1,1.0,0.0,1.0,0.0,2.0,1.0,22.8,40234.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2620.0,289.0,FY18
134,9th,8310,Elementary School,67.48%,2.0,48.2,9.0,1.8,1.2,9.0,2.0,2.0,0.0,0.0,75.2,261995.0,0.0,8.2,0.0,1.6,0.0,0.0,0.0,0.0,12.0,0.0,21.8,30359.0,1209.0,FY18
135,7th,5390,K‐8 School,86.13%,1.0,31.1,3.8,2.5,1.0,1.0,1.0,0.0,2.0,0.0,43.4,63904.0,1.0,7.7,0.2,0.3,0.0,0.0,0.0,0.0,5.0,0.0,14.3,246028.0,557.0,FY18
136,8th,6300,Elementary School,81.82%,1.0,14.6,5.8,1.0,1.0,9.0,1.0,0.0,0.0,0.0,33.4,52879.0,0.0,3.0,0.2,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.2,7714.0,329.0,FY18
137,1st,2540,Elementary School,81.55%,1.0,24.7,1.8,2.0,1.0,1.0,1.0,1.0,1.7,0.0,35.1,85697.0,0.0,6.0,0.2,0.6,0.0,0.0,0.0,1.0,2.3,0.0,10.2,77122.0,468.0,FY18
138,1st,5590,Elementary School,86.31%,2.0,31.4,6.8,2.6,1.0,15.0,1.0,0.0,1.0,0.2,61.0,137759.0,0.0,11.2,0.2,1.4,0.0,0.0,0.0,4.0,8.0,0.0,24.8,87155.0,815.0,FY18
139,4th,4320,K‐8 School,68.75%,1.0,25.0,8.8,0.6,1.0,18.0,1.0,1.0,3.0,1.0,60.4,80464.0,0.0,4.2,0.2,0.4,0.0,0.0,0.0,0.0,1.0,0.0,5.8,27338.0,605.0,FY18
140,6th,8140,Middle School,67.68%,1.0,29.1,5.8,1.0,1.0,2.0,1.0,0.0,7.0,0.0,47.9,80428.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49517.0,598.0,FY18
141,3rd,1230,K‐8 School,83.17%,1.0,21.1,1.8,2.0,1.0,3.0,1.0,0.0,2.0,0.0,32.9,145994.0,1.0,6.2,0.2,0.0,0.0,0.0,0.0,1.0,5.0,1.0,14.4,175453.0,422.0,FY18
142,7th,5020,High School,80.49%,3.0,58.3,23.8,4.1,1.6,21.0,2.0,2.0,4.0,1.2,121.0,146573.0,1.0,7.0,0.2,1.1,0.0,4.0,0.0,0.0,3.0,0.0,16.3,685437.0,1077.0,FY18
143,7th,5470,Elementary School,86.25%,1.0,21.9,4.8,1.0,1.0,5.0,1.0,0.0,5.0,0.0,40.6,82227.0,0.0,4.2,0.2,0.8,0.0,0.0,0.0,5.0,0.0,1.0,11.3,148503.0,503.0,FY18
144,9th,6460,Middle Secondary,52.80%,2.0,32.3,18.0,1.7,1.2,30.0,1.0,0.0,0.0,0.0,86.2,152928.0,0.0,0.7,1.0,0.3,0.0,0.0,0.0,0.0,3.0,0.0,5.0,6040.0,640.0,FY18
145,1st,2670,High School,61.60%,1.0,16.2,1.8,1.0,1.0,4.0,1.0,0.0,1.0,0.0,27.0,92028.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76184.0,393.0,FY18
146,4th,6030,High School,66.61%,2.0,28.0,15.8,1.5,1.1,21.0,1.0,0.0,0.0,0.0,70.4,72615.0,0.0,9.3,0.2,1.5,0.0,0.0,0.0,0.0,5.0,0.0,16.0,48172.0,656.0,FY18
147,6th,7330,Elementary School,78.65%,1.0,29.7,10.8,2.1,2.0,15.0,1.0,0.0,9.0,0.0,70.6,102685.0,1.0,5.1,1.2,1.1,0.0,0.0,0.0,5.0,0.0,0.0,13.4,1724.0,780.0,FY18
148,6th,8270,Elementary School,70.15%,1.0,25.5,7.8,1.0,1.0,19.0,1.0,2.0,0.0,0.0,58.3,60584.0,0.0,5.2,0.2,0.0,0.0,0.0,0.0,7.0,2.0,0.0,14.4,62160.0,601.0,FY18
149,5th,4440,K‐8 School,86.67%,1.0,24.0,2.8,3.0,1.0,3.0,1.0,0.0,5.0,0.0,40.8,96124.0,1.0,5.2,0.2,0.0,0.0,0.0,0.0,5.0,4.0,0.0,15.4,239733.0,448.0,FY18
150,3rd,1100,High School,79.77%,1.0,17.2,11.8,1.3,1.0,20.0,1.0,0.0,1.0,1.0,55.2,124258.0,1.0,4.8,0.2,0.8,0.0,0.0,0.0,0.0,2.0,0.0,8.8,123654.0,439.0,FY18
151,10th,8390,K‐8 School,53.69%,2.0,32.2,8.8,1.0,1.0,13.0,1.0,5.0,7.0,0.0,71.0,132279.0,0.0,5.2,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.4,11480.0,807.0,FY18
152,1st,2190,K‐8 School,77.35%,1.0,28.0,3.8,0.8,1.0,9.0,1.0,0.0,4.0,0.0,48.6,196959.0,0.0,2.2,0.2,1.6,0.0,0.0,0.0,4.0,3.0,0.0,11.0,18473.0,577.0,FY18
153,4th,6380,K‐8 School,48.16%,1.0,22.2,4.8,3.0,1.0,22.0,1.0,0.0,5.0,0.0,60.0,67764.0,0.0,2.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15414.0,497.0,FY18
154,9th,7530,Elementary School,77.47%,1.0,18.6,2.8,1.0,1.0,5.0,1.0,0.0,4.0,0.3,34.7,41519.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.7,8.9,14111.0,474.0,FY18
155,8th,6260,K‐8 School,62.95%,1.0,18.1,10.0,0.4,1.0,9.0,1.0,1.0,2.0,0.0,43.5,54234.0,0.0,2.0,0.0,1.6,0.0,0.0,0.0,3.0,2.0,1.0,9.6,15981.0,386.0,FY18
156,3rd,1350,K‐8 School,83.21%,1.0,18.9,3.8,0.0,1.0,8.0,1.0,0.0,0.0,0.0,33.7,226179.0,0.0,3.2,1.2,1.0,0.0,0.0,0.0,6.0,2.0,0.0,13.4,44887.0,414.0,FY18
157,4th,4240,Elementary School,73.02%,1.0,20.6,5.8,0.5,1.0,11.0,1.0,1.0,5.0,0.0,46.9,108471.0,1.0,2.0,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6007.0,419.0,FY18
158,10th,8020,High School,59.23%,5.0,151.0,19.8,8.2,3.0,16.0,4.0,0.0,17.0,0.0,224.0,479464.0,2.0,7.4,0.2,2.2,0.0,0.0,0.0,0.0,0.0,2.0,13.8,114593.0,3370.0,FY18
159,7th,8470,Middle Secondary,86.96%,1.0,13.2,5.0,0.4,0.3,0.0,1.0,3.0,1.0,1.0,25.9,183612.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,6237.0,85.0,FY18
160,5th,5200,K‐8 School,51.38%,1.0,16.2,3.8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,26.0,34599.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,15521.0,357.0,FY18
161,2nd,1010,High School,73.48%,1.0,27.0,11.8,1.0,1.0,14.0,1.0,0.0,0.0,2.4,59.2,317949.0,2.0,4.2,0.2,2.0,0.0,0.0,0.0,0.0,6.0,2.0,16.4,217915.0,581.0,FY18
162,2nd,1440,K‐8 School,69.54%,2.0,24.1,13.8,0.8,1.0,26.0,1.0,0.0,0.0,1.0,69.7,99154.0,0.0,3.0,0.2,0.2,0.0,0.0,0.0,0.0,5.0,0.0,8.4,4940.0,528.0,FY18
163,10th,8360,Elementary School,67.57%,1.0,26.9,2.8,1.6,1.0,4.0,1.0,0.0,7.0,0.0,45.3,78319.0,0.0,6.2,0.2,0.4,0.0,0.0,0.0,5.0,0.0,0.0,11.8,34210.0,634.0,FY18
164,4th,2680,Middle Secondary,44.47%,1.0,21.5,1.8,0.5,1.0,5.0,0.0,0.0,2.0,1.0,33.7,139583.0,0.0,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,57550.0,487.0,FY18
165,9th,7220,Elementary School,76.28%,2.0,36.8,5.8,1.9,2.1,13.0,1.0,4.0,4.0,0.0,70.6,204799.0,1.0,12.2,0.2,0.9,0.0,0.0,0.0,1.0,4.0,0.0,19.4,14743.0,963.0,FY18
166,3rd,8560,High School,70.17%,1.0,14.4,1.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,22.2,35178.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,37558.0,242.0,FY18
167,4th,4350,K‐8 School,84.88%,1.0,29.1,6.8,2.0,1.0,12.0,1.0,0.0,6.0,1.4,60.3,169039.0,1.0,5.2,1.2,0.0,0.0,0.0,0.0,0.0,5.0,0.6,13.0,186853.0,568.0,FY18
168,5th,5050,High School,75.60%,1.0,13.8,1.8,0.1,1.0,0.0,1.0,0.0,4.0,0.0,22.7,126761.0,0.0,4.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2493.0,308.0,FY18
169,1st,5400,Elementary School,83.92%,1.0,24.0,5.8,1.2,1.0,7.0,1.0,2.0,3.0,0.0,46.0,55399.0,0.0,7.2,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,9.6,20744.0,629.0,FY18
170,1st,2160,High School,66.42%,2.0,35.1,6.8,3.4,1.0,5.0,1.0,0.0,5.0,0.6,59.8,89138.0,0.0,3.4,0.2,3.6,0.0,0.0,0.0,2.0,0.0,0.0,9.3,91519.0,676.0,FY18
171,9th,6310,K‐8 School,63.15%,1.0,19.4,4.8,1.0,2.0,4.0,1.0,0.0,5.0,0.0,38.1,21365.0,0.0,3.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,19534.0,452.0,FY18
172,7th,7440,Elementary School,87.05%,2.0,28.1,5.8,0.5,1.0,5.0,1.0,4.0,1.0,0.0,48.4,191859.0,0.0,9.0,0.2,2.3,0.0,0.0,0.0,0.0,8.0,1.0,20.6,5819.0,550.0,FY18
173,7th,7010,High School,73.61%,2.0,46.1,19.8,2.2,1.4,23.0,2.0,0.0,12.0,0.2,108.7,174619.0,1.0,8.2,1.2,3.4,0.0,0.0,0.0,0.0,0.0,1.0,14.8,136637.0,977.0,FY18
174,7th,5260,Elementary School,88.77%,2.0,36.5,2.8,0.2,1.0,3.0,2.0,1.0,3.0,0.0,51.5,198147.0,0.0,9.8,1.2,1.8,0.0,0.0,0.0,6.0,6.0,3.0,27.9,18435.0,830.0,FY18
175,3rd,1420,K‐8 School,85.17%,1.0,16.6,10.8,1.0,2.0,27.0,1.0,0.0,0.0,0.1,59.5,92245.0,0.0,5.6,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.9,10.7,90978.0,367.0,FY18
176,5th,4530,K‐8 School,88.73%,1.0,15.0,2.8,0.0,1.0,5.0,1.0,0.0,1.2,0.0,27.0,53439.0,0.0,4.4,0.2,1.5,0.0,0.0,0.0,3.0,2.8,0.5,12.4,44604.0,289.0,FY18
177,6th,8300,K‐8 School,64.70%,3.0,66.5,9.8,2.2,1.4,8.0,2.0,0.0,14.0,0.0,106.9,229375.0,1.0,9.2,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,12.2,41617.0,1657.0,FY18
178,3rd,1190,High School,70.50%,1.0,19.1,1.8,0.0,1.0,0.0,1.0,1.0,4.0,0.0,28.9,43548.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,29742.0,413.0,FY18
179,8th,7100,K‐8 School,80.28%,1.0,27.0,3.8,2.0,1.0,5.0,1.0,1.0,1.0,2.0,44.8,99709.0,1.0,2.2,1.2,1.0,0.0,0.0,0.0,0.0,5.0,0.0,10.4,203212.0,426.0,FY18
180,8th,6200,K‐8 School,71.86%,1.0,20.0,4.8,2.0,2.0,7.0,1.0,0.0,3.0,0.0,40.8,34889.0,1.0,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,16295.0,473.0,FY18
181,5th,2010,High School,76.79%,2.0,23.6,11.8,0.0,1.0,14.0,1.0,0.0,0.0,1.0,54.4,164188.0,0.0,6.6,0.2,2.0,0.0,0.0,0.0,0.0,3.0,2.0,13.8,68687.0,511.0,FY18
182,5th,4220,K‐8 School,86.30%,1.0,22.1,8.8,0.0,1.0,29.0,1.0,2.0,0.0,0.0,64.9,255449.0,0.0,4.0,0.2,1.0,0.0,0.0,0.0,6.0,2.0,0.0,13.2,82764.0,495.0,FY18
183,10th,8040,High School,35.38%,1.0,27.4,2.8,1.0,1.0,6.0,1.0,0.0,4.0,0.0,44.2,124818.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,13556.0,631.0,FY18
184,6th,8410,Elementary School,59.29%,1.4,26.3,9.8,2.0,1.0,14.0,1.0,0.0,0.0,0.0,55.5,105419.0,0.6,5.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,78249.0,636.0,FY18
185,7th,5490,Elementary School,86.49%,1.0,21.3,5.8,1.2,1.0,4.0,1.0,0.0,7.0,0.6,42.9,138505.0,0.0,11.0,0.2,0.2,0.0,0.0,0.0,3.0,0.0,0.6,15.0,63415.0,490.0,FY18
186,8th,6400,K‐12 School,72.41%,1.0,3.6,26.8,2.0,11.4,23.0,1.0,0.0,0.0,1.0,69.8,66712.0,0.0,1.4,3.2,0.0,0.0,3.0,0.0,0.0,2.0,0.0,9.6,27335.0,146.0,FY18
187,2nd,2240,K‐8 School,78.87%,1.0,18.3,8.8,0.6,1.0,9.0,1.0,0.0,4.0,0.0,43.7,89176.0,0.0,4.0,0.2,1.4,0.0,0.0,0.0,2.0,0.0,1.0,8.6,21897.0,342.0,FY18
188,8th,6050,High School,58.79%,2.0,43.9,0.8,2.0,1.2,1.0,1.0,0.0,2.4,0.0,54.3,90464.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,1.0,0.6,0.0,4.1,5626.0,990.0,FY18
189,9th,7350,Elementary School,78.34%,2.0,30.1,3.8,1.5,1.0,9.0,1.0,3.0,8.8,0.0,60.2,83799.0,0.0,10.2,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.0,10.9,7833.0,769.0,FY18
190,6th,8210,Elementary School,71.04%,1.0,23.8,5.8,2.0,1.0,9.0,1.0,0.0,1.0,0.0,44.6,52939.0,0.0,3.6,0.2,0.0,0.0,0.0,0.0,5.0,2.0,0.0,10.8,19877.0,582.0,FY18
191,7th,5370,Elementary School,78.55%,1.0,14.0,2.8,0.6,1.0,2.0,1.0,0.0,5.0,0.0,27.3,51824.0,0.0,3.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5913.0,312.0,FY18
192,8th,6360,K‐8 School,81.45%,1.0,28.6,7.8,1.0,1.0,14.0,1.0,0.0,0.0,1.0,55.4,223483.0,2.0,5.5,0.2,2.0,0.0,0.0,0.0,10.0,6.0,1.0,26.7,1129331.0,530.0,FY18
193,1st,2520,Elementary School,70.07%,1.0,12.8,1.8,0.8,1.0,4.0,1.0,1.0,3.0,0.0,26.4,49379.0,0.0,3.4,0.2,0.6,0.0,0.0,0.0,1.0,0.0,0.0,5.2,2942.0,295.0,FY18
194,6th,7430,Elementary School,86.25%,2.0,28.7,6.8,1.1,1.0,7.0,1.0,1.0,3.0,0.0,51.6,58739.0,0.0,11.0,0.2,1.1,0.0,1.0,0.0,1.0,4.0,0.0,18.3,54098.0,746.0,FY18
195,9th,8120,Middle School,67.71%,2.0,68.7,8.8,4.0,1.4,10.0,1.0,0.0,9.4,0.0,105.2,221219.0,1.0,0.0,0.2,0.6,0.0,0.0,0.0,2.0,1.6,2.0,7.5,10566.0,1334.0,FY18
196,2nd,1250,Elementary School,81.35%,1.0,22.7,5.8,0.3,1.0,3.0,1.0,1.0,2.0,0.0,37.8,120434.0,0.0,4.0,0.2,0.9,0.0,0.0,0.0,2.0,4.0,0.0,11.1,15253.0,531.0,FY18
197,7th,5410,Elementary School,88.33%,1.0,9.2,0.8,1.0,1.0,0.0,1.0,0.0,0.2,0.0,14.2,55669.0,0.0,6.4,0.2,0.0,0.0,0.0,0.0,3.0,2.8,0.0,12.5,35865.0,175.0,FY18
198,1st,2690,K‐8 School,75.63%,1.0,23.2,2.8,1.6,1.0,5.0,1.0,1.0,3.0,0.0,39.6,68619.0,0.0,5.0,1.2,0.4,0.0,0.0,0.0,2.0,2.0,0.0,10.6,30529.0,447.0,FY18
199,4th,6480,Middle School,61.51%,1.0,15.4,1.8,0.1,1.0,4.0,1.0,0.0,1.0,0.0,25.3,43418.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,9620.0,312.0,FY18
200,2nd,2320,Elementary School,82.66%,1.0,22.2,1.8,1.1,1.0,1.0,2.0,2.0,4.0,0.0,36.1,77180.0,0.0,7.0,0.2,1.1,0.0,0.0,0.0,7.0,2.0,0.6,17.9,32699.0,540.0,FY18
201,1st,5210,K‐8 School,79.49%,1.0,21.8,8.8,1.6,1.0,14.0,1.0,0.0,5.0,0.0,54.2,44449.0,0.0,8.6,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.2,78531.0,500.0,FY18
202,10th,8370,Elementary School,42.74%,1.0,20.7,5.8,1.2,1.0,11.0,1.0,2.0,1.0,0.0,44.7,98439.0,0.0,4.2,0.2,0.2,0.0,0.0,0.0,2.0,2.0,0.0,8.6,32583.0,503.0,FY18
203,8th,5500,K‐8 School,80.68%,2.0,33.7,13.8,1.2,4.2,26.0,1.0,0.0,3.0,0.0,84.9,190859.0,0.0,8.3,1.2,1.3,0.0,0.0,0.0,5.0,6.0,0.9,22.7,16407.0,804.0,FY18
204,3rd,1340,K‐8 School,73.08%,1.0,25.3,7.8,2.4,2.0,22.0,1.0,0.0,0.0,0.0,61.4,53839.0,1.0,6.2,0.2,0.2,0.0,0.0,0.0,2.0,5.0,1.0,15.7,36539.0,556.0,FY18
205,5th,5150,High School,61.74%,1.0,24.9,0.8,1.0,1.0,1.0,1.0,0.0,4.0,0.0,34.7,155988.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3937.0,517.0,FY18
206,10th,8030,High School,52.46%,1.0,59.7,18.8,2.6,1.4,26.0,3.0,2.0,2.0,0.5,117.0,470106.0,3.0,3.2,0.2,2.0,0.0,0.0,0.0,0.0,5.0,1.5,14.9,25020.0,1290.0,FY18
207,3rd,8460,High School,85.44%,1.0,11.0,2.0,1.0,0.5,0.0,1.0,2.0,0.0,2.0,20.5,219659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,13410.0,89.0,FY18
208,8th,6390,K‐8 School,85.09%,1.4,24.5,2.8,0.0,1.0,8.0,1.0,2.8,1.0,0.0,42.5,32636.0,0.6,5.6,0.2,2.0,0.0,0.0,0.0,3.2,3.0,1.0,15.6,38370.0,537.0,FY18
209,8th,6270,K‐8 School,39.44%,1.0,21.8,4.8,0.8,1.0,3.0,1.0,1.0,4.0,0.0,38.4,85434.0,0.0,3.8,0.2,0.2,0.0,0.0,0.0,3.0,0.0,0.0,7.2,47689.0,513.0,FY18
210,10th,8260,Elementary School,50.60%,1.0,19.0,8.8,0.2,1.0,26.0,1.0,0.0,3.0,0.0,59.9,63243.0,0.0,4.5,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.5,21603.0,492.0,FY18
